,unidad_academica,carrera,nro_inscripcion,regular,cnt_readmisiones,calidad,anio_plan_estudios,fecha_ingreso_alumno
0,FCEQN,170,FCEQN-3342,S,0,A,2005,02/28/2011
1,FCEQN,102,FCEQN-5396,S,0,A,2005,12/12/2010
2,FCEQN,143,FCEQN-3162,S,0,A,2008,07/03/2011
3,FCEQN,106,FCEQN-5739,S,0,A,2008,12/03/2011
4,FCEQN,172,4683,S,0,A,2005,03/15/2011
5,FCEQN,SAC,FCEQN-5233,S,0,A,2009,05/12/2010
6,FCEQN,SAC,FCEQN-5226,S,0,A,2009,05/12/2010
7,FCEQN,SAC,FCEQN-5117,S,0,A,2009,12/14/2010
8,FCEQN,SAC,FCEQN-5630,S,0,A,2009,12/19/2010
9,FCEQN,SAC,FCEQN-5644,S,0,A,2009,01/30/2011
10,FCEQN,SAC,FCEQN-5218,S,0,A,2009,04/12/2010
11,FCEQN,SAC,FCEQN-5397,S,0,A,2009,12/12/2010
12,FCEQN,SAC,FCEQN-5546,S,0,A,2009,12/14/2010
13,FCEQN,SAC,FCEQN-5608,S,0,A,2009,12/15/2010
14,FCEQN,SAC,FCEQN-5145,S,0,A,2009,11/30/2010
15,FCEQN,SAC,FCEQN-5681,S,0,A,2009,01/31/2011
16,FCEQN,SAC,FCEQN-5641,S,0,A,2009,01/30/2011
17,FCEQN,SAC,FCEQN-5327,S,,A,2009,11/12/2010
18,FCEQN,SAC,FCEQN-5522,S,,A,2009,12/14/2010
19,FCEQN,SAC,FCEQN-5434,S,,A,2009,12/12/2010
20,FCEQN,SAC,FCEQN-5457,S,0,A,2009,12/14/2010
21,FCEQN,SAC,FCEQN-5684,S,0,A,2009,01/02/2011
22,FCEQN,SAC,FCEQN-5580,S,0,A,2009,12/15/2010
23,FCEQN,SAC,FCEQN-5165,S,0,A,2009,01/12/2010
24,FCEQN,SAC,FCEQN-5320,S,0,A,2009,11/12/2010
25,FCEQN,SAC,FCEQN-5621,S,0,A,2009,12/18/2010
26,FCEQN,SAC,FCEQN-5765,S,0,A,2009,02/26/2011
27,FCEQN,SAC,FCEQN-5767,S,0,A,2009,02/27/2011
28,FCEQN,114,989,S,0,A,2005,03/21/2011
29,FCEQN,102,FCEQN-5184,S,0,A,2005,01/12/2010
30,FCEQN,147,FCEQN-1431,S,0,A,2000,03/28/2011
31,FCEQN,106,FCEQN-5312,S,0,A,2008,03/28/2011
32,FCEQN,172,FCEQN-1056,S,0,A,2005,03/29/2011
33,FCEQN,SAC,FCEQN-5554,S,0,A,2009,12/14/2010
34,FCEQN,147,FCEQN-5774,S,0,A,2000,03/30/2011
35,FCEQN,147,FCEQN-5775,S,0,A,2000,03/30/2011
36,FCEQN,SAC,FCEQN-5708,S,0,A,2009,01/02/2011
37,FCEQN,SAC,FCEQN-5576,S,0,A,2009,12/15/2010
38,FCEQN,106,FCEQN-5385,S,0,A,2008,10/04/2011
39,FCEQN,101,FCEQN-4751,S,0,A,2007,02/16/2010
40,FCEQN,172,3682,S,0,A,2005,02/26/2011
41,FCEQN,147,FCEQN-5311,S,0,A,2000,07/12/2010
42,FCEQN,104,FCEQN-5144,S,0,A,2005,11/30/2010
43,FCEQN,147,FCEQN-5781,S,0,A,2000,12/04/2011
44,FCEQN,172,FCEQN-5747,S,0,A,2005,07/02/2011
45,FCEQN,147,FCEQN-5779,S,0,A,2000,12/04/2011
46,FCEQN,104,FCEQN-5290,S,0,A,2005,07/12/2010
47,FCEQN,147,FCEQN-5627,S,0,A,2000,12/19/2010
48,FCEQN,147,FCEQN-5299,S,0,A,2000,07/12/2010
49,FCEQN,147,FCEQN-5272,S,0,A,2000,06/12/2010
50,FCEQN,147,FCEQN-5365,S,0,A,2000,11/12/2010
51,FCEQN,170,FCEQN-5417,S,0,A,2005,12/12/2010
52,FCEQN,172,FCEQN-5239,S,0,A,2005,05/12/2010
53,FCEQN,147,FCEQN-5675,S,0,A,2000,01/31/2011
54,FCEQN,147,FCEQN-5190,S,0,A,2000,04/12/2010
55,FCEQN,147,FCEQN-5567,S,0,A,2000,12/14/2010
56,FCEQN,102,FCEQN-5349,S,0,A,2005,11/12/2010
57,FCEQN,172,FCEQN-5452,S,0,A,2005,12/13/2010
58,FCEQN,147,FCEQN-5783,S,0,A,2000,04/13/2011
59,FCEQN,101,FCEQN-5569,S,0,A,2007,04/17/2011
60,FCEQN,102,FCEQN-5364,S,0,A,2005,11/12/2010
61,FCEQN,172,FCEQN-5157,S,0,A,2005,01/12/2010
62,FCEQN,102,FCEQN-5788,S,0,A,2005,04/17/2011
63,FCEQN,101,FCEQN-1963,N,0,A,2007,07/02/2006
64,FCEQN,101,FCEQN-3969,N,0,A,2007,02/26/2008
65,FCEQN,102,775,N,1,A,2005,05/19/1996
66,FCEQN,102,FCEQN-444,N,1,A,2005,04/24/2004
67,FCEQN,147,FCEQN-4269,N,0,P,2000,04/04/2009
68,FCEQN,147,FCEQN-3384,N,0,A,2000,04/12/2007
69,FCEQN,147,FCEQN-3005,N,0,A,2000,03/03/2007
70,FCEQN,147,FCEQN-4340,N,0,A,2000,06/04/2009
71,FCEQN,147,FCEQN-5789,S,0,A,2000,04/17/2011
72,FCEQN,104,FCEQN-5409,S,0,A,2005,12/12/2010
73,FCEQN,147,FCEQN-5328,S,0,A,2000,11/12/2010
74,FCEQN,102,FCEQN-5324,S,0,A,2005,11/12/2010
75,FCEQN,106,FCEQN-5228,S,0,A,2008,04/20/2011
76,FCEQN,172,FCEQN-5565,S,0,A,2005,12/14/2010
77,FCEQN,170,FCEQN-5664,S,0,A,2005,04/20/2011
78,FCEQN,172,FCEQN-5771,S,0,A,2005,03/23/2011
79,FCEQN,101,FCEQN-5547,S,0,A,2007,04/20/2011
80,FCEQN,102,FCEQN-5456,S,0,A,2005,12/13/2010
81,FCEQN,172,FCEQN-5170,S,0,A,2005,01/12/2010
82,FCEQN,102,FCEQN-5595,S,0,A,2005,12/15/2010
83,FCEQN,104,FCEQN-5287,S,0,A,2005,07/12/2010
84,FCEQN,143,FCEQN-5682,S,0,A,2008,01/31/2011
85,FCEQN,172,FCEQN-5509,S,0,A,2005,12/14/2010
86,FCEQN,104,FCEQN-5132,S,0,A,2005,11/30/2010
87,FCEQN,102,FCEQN-5793,S,0,A,2005,04/20/2011
88,FCEQN,172,FCEQN-5406,S,0,A,2005,12/12/2010
89,FCEQN,104,FCEQN-5146,S,0,A,2005,01/12/2010
90,FCEQN,147,FCEQN-5163,S,0,A,2000,01/12/2010
91,FCEQN,172,FCEQN-5790,S,0,A,2005,04/18/2011
92,FCEQN,147,FCEQN-5619,S,0,A,2000,12/18/2010
93,FCEQN,102,FCEQN-5521,S,0,A,2005,12/14/2010
94,FCEQN,147,FCEQN-5798,S,0,A,2000,04/23/2011
95,FCEQN,147,FCEQN-5343,S,0,A,2000,11/12/2010
96,FCEQN,147,FCEQN-5269,S,0,A,2000,06/12/2010
97,FCEQN,104,FCEQN-5194,S,0,A,2005,04/12/2010
98,FCEQN,102,FCEQN-5183,S,0,A,2005,01/12/2010
99,FCEQN,147,FCEQN-5506,S,0,A,2000,12/14/2010
100,FCEQN,147,FCEQN-5189,S,0,A,2000,04/12/2010
101,FCEQN,102,FCEQN-5171,S,0,A,2005,01/12/2010
102,FCEQN,147,FCEQN-5640,S,,A,2000,01/30/2011
103,FCEQN,147,FCEQN-5224,S,,A,2000,05/12/2010
