,ua,insc,estado_civil,sit_lab_alumno,tipo_res_alumno,sit_lab_padres,estudios_padres
0,FCEQN,FCEQN-3342,1.0,NC,-1.0,-1,-1.0
1,FCEQN,FCEQN-5396,1.0,NC,-1.0,-1,-1.0
2,FCEQN,FCEQN-3162,1.0,No,1.0,3,3.0
3,FCEQN,FCEQN-5739,3.0,NC,-1.0,-1,-1.0
4,FCEQN,4683,1.0,NC,-1.0,-1,-1.0
5,FCEQN,FCEQN-5233,1.0,NC,-1.0,-1,-1.0
6,FCEQN,FCEQN-5226,1.0,NC,-1.0,-1,-1.0
7,FCEQN,FCEQN-5117,1.0,NC,-1.0,-1,-1.0
8,FCEQN,FCEQN-5630,2.0,NC,-1.0,-1,-1.0
9,FCEQN,FCEQN-5644,1.0,NC,-1.0,-1,-1.0
10,FCEQN,FCEQN-5218,1.0,NC,-1.0,-1,-1.0
11,FCEQN,FCEQN-5397,1.0,NC,-1.0,-1,-1.0
12,FCEQN,FCEQN-5546,2.0,NC,-1.0,-1,-1.0
13,FCEQN,FCEQN-5608,1.0,NC,-1.0,-1,-1.0
14,FCEQN,FCEQN-5145,1.0,NC,-1.0,-1,-1.0
15,FCEQN,FCEQN-5681,1.0,NC,-1.0,-1,-1.0
16,FCEQN,FCEQN-5641,1.0,NC,-1.0,-1,-1.0
17,FCEQN,FCEQN-5327,1.0,NC,-1.0,-1,-1.0
18,FCEQN,FCEQN-5522,1.0,NC,-1.0,-1,-1.0
19,FCEQN,FCEQN-5434,2.0,NC,-1.0,-1,-1.0
20,FCEQN,FCEQN-5457,1.0,NC,-1.0,-1,-1.0
21,FCEQN,FCEQN-5684,1.0,NC,-1.0,-1,-1.0
22,FCEQN,FCEQN-5580,1.0,No,1.0,-1,5.0
23,FCEQN,FCEQN-5165,1.0,NC,-1.0,-1,-1.0
24,FCEQN,FCEQN-5320,1.0,NC,-1.0,-1,-1.0
25,FCEQN,FCEQN-5621,1.0,NC,2.0,-1,-1.0
26,FCEQN,FCEQN-5765,1.0,No,1.0,3,4.0
27,FCEQN,FCEQN-5767,1.0,NC,-1.0,-1,-1.0
28,FCEQN,989,1.0,NC,-1.0,-1,-1.0
29,FCEQN,FCEQN-5184,2.0,NC,1.0,-1,-1.0
30,FCEQN,FCEQN-1431,1.0,NC,-1.0,-1,-1.0
31,FCEQN,FCEQN-5312,1.0,NC,-1.0,-1,-1.0
32,FCEQN,FCEQN-1056,1.0,NC,-1.0,-1,-1.0
33,FCEQN,FCEQN-5554,1.0,No,2.0,1,5.0
34,FCEQN,FCEQN-5774,1.0,No,2.0,3,1.0
35,FCEQN,FCEQN-5775,1.0,NC,-1.0,-1,-1.0
36,FCEQN,FCEQN-5708,1.0,NC,-1.0,-1,-1.0
37,FCEQN,FCEQN-5576,1.0,NC,-1.0,-1,-1.0
38,FCEQN,FCEQN-5385,1.0,NC,-1.0,-1,-1.0
39,FCEQN,FCEQN-4751,1.0,NC,-1.0,-1,-1.0
40,FCEQN,3682,1.0,NC,-1.0,-1,-1.0
41,FCEQN,FCEQN-5311,1.0,NC,-1.0,-1,-1.0
42,FCEQN,FCEQN-5144,1.0,NC,-1.0,-1,-1.0
43,FCEQN,FCEQN-5781,1.0,NC,-1.0,-1,-1.0
44,FCEQN,FCEQN-5747,1.0,NC,-1.0,-1,-1.0
45,FCEQN,FCEQN-5779,1.0,NC,-1.0,-1,-1.0
46,FCEQN,FCEQN-5290,1.0,NC,-1.0,-1,-1.0
47,FCEQN,FCEQN-5627,1.0,NC,-1.0,-1,-1.0
48,FCEQN,FCEQN-5299,1.0,NC,-1.0,-1,-1.0
49,FCEQN,FCEQN-5272,1.0,NC,-1.0,-1,-1.0
50,FCEQN,FCEQN-5365,1.0,No,1.0,3,7.0
51,FCEQN,FCEQN-5417,1.0,NC,-1.0,-1,-1.0
52,FCEQN,FCEQN-5239,1.0,No,1.0,3,7.0
53,FCEQN,FCEQN-5675,1.0,No,1.0,3,5.0
54,FCEQN,FCEQN-5190,1.0,NC,1.0,-1,-1.0
55,FCEQN,FCEQN-5567,1.0,No,1.0,1,6.0
56,FCEQN,FCEQN-5349,1.0,No,2.0,4,7.0
57,FCEQN,FCEQN-5452,1.0,NC,2.0,-1,-1.0
58,FCEQN,FCEQN-5783,1.0,NC,-1.0,-1,-1.0
59,FCEQN,FCEQN-5569,1.0,No,1.0,4,4.0
60,FCEQN,FCEQN-5364,1.0,NC,1.0,-1,-1.0
61,FCEQN,FCEQN-5157,1.0,No,1.0,1,7.0
62,FCEQN,FCEQN-5788,1.0,NC,1.0,-1,-1.0
63,FCEQN,FCEQN-1963,1.0,No,1.0,3,5.0
64,FCEQN,FCEQN-3969,1.0,NC,-1.0,1,2.0
65,FCEQN,775,1.0,Si,1.0,1,5.0
66,FCEQN,FCEQN-444,1.0,NC,1.0,-1,-1.0
67,FCEQN,FCEQN-4269,1.0,NC,-1.0,-1,-1.0
68,FCEQN,FCEQN-3384,1.0,NC,1.0,-1,-1.0
69,FCEQN,FCEQN-3005,1.0,NC,1.0,-1,-1.0
70,FCEQN,FCEQN-4340,1.0,NC,2.0,-1,-1.0
71,FCEQN,FCEQN-5789,1.0,NC,-1.0,-1,-1.0
72,FCEQN,FCEQN-5409,1.0,NC,1.0,-1,-1.0
73,FCEQN,FCEQN-5328,1.0,NC,1.0,-1,-1.0
74,FCEQN,FCEQN-5324,1.0,NC,-1.0,-1,-1.0
75,FCEQN,FCEQN-5228,1.0,NC,1.0,-1,-1.0
76,FCEQN,FCEQN-5565,1.0,No,2.0,3,3.0
77,FCEQN,FCEQN-5664,1.0,Si,1.0,5,3.0
78,FCEQN,FCEQN-5771,1.0,No,2.0,1,5.0
